# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [MeV]   
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
13.85            6.1057465E-52    6.1057465E-52    6.1057465E-52    6.1057465E-52    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
13.95            8.4949087E-52    8.4949087E-52    8.4949087E-52    8.4949087E-52    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
14.05            1.1596984E-51    1.1596984E-51    1.1596984E-51    1.1596984E-51    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
14.15            1.5565301E-51    1.5565301E-51    1.5565301E-51    1.5565301E-51    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
14.25            2.0574457E-51    2.0574457E-51    2.0574457E-51    2.0574457E-51    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
14.35            2.6821704E-51    2.6821704E-51    2.6821704E-51    2.6821704E-51    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
14.45            3.4528315E-51    3.4528315E-51    3.4528315E-51    3.4528315E-51    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
14.55            4.3940911E-51    4.3940911E-51    4.3940911E-51    4.3940911E-51    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
14.65            5.5332759E-51    5.5332759E-51    5.5332759E-51    5.5332759E-51    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
14.75            6.9005036E-51    6.9005036E-51    6.9005036E-51    6.9005036E-51    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
14.85            8.5288052E-51    8.5288052E-51    8.5288052E-51    8.5288052E-51    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
14.95            1.0454243E-50    1.0454243E-50    1.0454243E-50    1.0454243E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
15.05            1.2716027E-50    1.2716027E-50    1.2716027E-50    1.2716027E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
15.15            1.5356622E-50    1.5356622E-50    1.5356622E-50    1.5356622E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
15.25            1.8421855E-50    1.8421855E-50    1.8421855E-50    1.8421855E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
15.35            2.1961019E-50    2.1961019E-50    2.1961019E-50    2.1961019E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
15.45            2.6026967E-50    2.6026967E-50    2.6026967E-50    2.6026967E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
15.55            3.0676206E-50    3.0676206E-50    3.0676206E-50    3.0676206E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
15.65            3.5968988E-50    3.5968988E-50    3.5968988E-50    3.5968988E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
15.75            4.1969392E-50    4.1969392E-50    4.1969392E-50    4.1969392E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
15.85            4.8745404E-50    4.8745404E-50    4.8745404E-50    4.8745404E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
15.95            5.6368996E-50    5.6368996E-50    5.6368996E-50    5.6368996E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
16.05            6.4916193E-50    6.4916193E-50    6.4916193E-50    6.4916193E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
