# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [MeV]   
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
16.15            6.9279825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.3707000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
16.25            6.9990625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.3807000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
16.35            7.0704825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.3907000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
16.45            7.1422425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.4007000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
16.55            7.2143425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.4107000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
16.65            7.2867825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.4207000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
16.75            7.3595625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.4307000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
16.85            7.4326825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.4407000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
16.95            7.5061425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.4507000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
17.05            7.5799425E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.4607000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
17.15            7.6540825E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.4707000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
17.25            7.7285625E-48    0.0000000E+00    0.0000000E+00    0.0000000E+00    1.4807000E+01    0.0000000E+00    0.0000000E+00    0.0000000E+00    
