# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [m^2 MeV]
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
12.75            1.0303461E-46    4.3486872E-47    1.7182117E-47    1.4858218E-47    6.0450752E-46    1.5459690E-46    9.2819679E-47    7.5261553E-47    
12.85            1.0386287E-46    4.3834190E-47    1.7317241E-47    1.4974573E-47    6.1447136E-46    1.5717638E-46    9.4329248E-47    7.6482941E-47    
12.95            1.0469114E-46    4.4181511E-47    1.7452365E-47    1.5090928E-47    6.2451674E-46    1.5977724E-46    9.5850990E-47    7.7714155E-47    
13.05            1.0551941E-46    4.4528836E-47    1.7587489E-47    1.5207282E-47    6.3464365E-46    1.6239949E-46    9.7384905E-47    7.8955194E-47    
13.15            1.0634769E-46    4.4876163E-47    1.7722612E-47    1.5323636E-47    6.4485210E-46    1.6504312E-46    9.8930993E-47    8.0206060E-47    
13.25            1.0717598E-46    4.5223494E-47    1.7857734E-47    1.5439988E-47    6.5514207E-46    1.6770813E-46    1.0048926E-46    8.1466751E-47    
13.35            1.0800427E-46    4.5570827E-47    1.7992856E-47    1.5556341E-47    6.6551358E-46    1.7039452E-46    1.0205969E-46    8.2737268E-47    
13.45            1.0883257E-46    4.5918164E-47    1.8127978E-47    1.5672693E-47    6.7596663E-46    1.7310230E-46    1.0364230E-46    8.4017611E-47    
13.55            1.0966088E-46    4.6265503E-47    1.8263100E-47    1.5789044E-47    6.8650121E-46    1.7583146E-46    1.0523708E-46    8.5307779E-47    
13.65            1.1048919E-46    4.6612845E-47    1.8398221E-47    1.5905395E-47    6.9711732E-46    1.7858201E-46    1.0684403E-46    8.6607773E-47    
13.75            1.1131751E-46    4.6960190E-47    1.8533342E-47    1.6021745E-47    7.0781497E-46    1.8135393E-46    1.0846316E-46    8.7917594E-47    
13.85            1.1214584E-46    4.7307537E-47    1.8668462E-47    1.6138095E-47    7.1859415E-46    1.8414725E-46    1.1009446E-46    8.9237239E-47    
13.95            1.1297417E-46    4.7654887E-47    1.8803582E-47    1.6254444E-47    7.2945486E-46    1.8696194E-46    1.1173794E-46    9.0566711E-47    
14.05            1.1380251E-46    4.8002240E-47    1.8938702E-47    1.6370793E-47    7.4039711E-46    1.8979802E-46    1.1339358E-46    9.1906008E-47    
14.15            1.1463085E-46    4.8349595E-47    1.9073821E-47    1.6487141E-47    7.5142090E-46    1.9265549E-46    1.1506140E-46    9.3255131E-47    
14.25            1.1545920E-46    4.8696953E-47    1.9208940E-47    1.6603489E-47    7.6252621E-46    1.9553433E-46    1.1674140E-46    9.4614080E-47    
14.35            1.1628756E-46    4.9044313E-47    1.9344059E-47    1.6719837E-47    7.7371307E-46    1.9843456E-46    1.1843356E-46    9.5982855E-47    
14.45            1.1711592E-46    4.9391675E-47    1.9479177E-47    1.6836184E-47    7.8498145E-46    2.0135618E-46    1.2013790E-46    9.7361455E-47    
14.55            1.1794428E-46    4.9739039E-47    1.9614295E-47    1.6952530E-47    7.9633138E-46    2.0429918E-46    1.2185442E-46    9.8749881E-47    
